featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD18,5.569053783119926,-0.6163114832229629,0.05007347258226901,-12.308143442825621,8.188516560103401e-35,6.133286147986124e-34
ABHD2,14.468796201402382,-0.5541081507308272,0.043648795416107104,-12.694695133015111,6.327586417838599e-37,5.514413121992399e-36
ABHD3,12.298416724467119,-0.05510009818094741,0.028625318127771516,-1.9248728672639894,0.0542452650994146,0.07401320227935838
ABHD4,3.3109353386021945,-1.0125239534014479,0.08085813033922915,-12.522228119219962,5.642851148728669e-36,4.5772204125649094e-35
ABHD5,8.21974278144615,-0.22764297659761806,0.040096452264868,-5.67738450010142,1.3676981353878065e-08,2.7950342708651972e-08
ABHD6,2.443017469386153,-0.6836925158709283,0.06898042501573644,-9.911399005079456,3.714085524302066e-23,1.4680333224972262e-22
ABHD8,3.087892922939262,0.24240709748645234,0.05334358336947328,4.544259724875808,5.512865033440645e-06,9.892600764395799e-06
ABI1,27.290957750027445,-0.5474378645795135,0.03434644756976037,-15.938704096475291,3.4135953550218226e-57,1.991893605778149e-55
ABI1P1,0.0,,,,,
ABI2,7.305618912914164,-0.014016881225110972,0.03311210752877574,-0.4233158886950867,0.6720648033788835,0.7282510784118069
ABI3,59.11940261996081,-0.24866550620279793,0.03229427330626342,-7.699987667924072,1.3607936299936164e-14,3.583552686335312e-14
ABI3BP,0.015427714487165426,0.4118665798775657,1.6543967859984041,0.24895272002659885,0.8033973540694362,
ABITRAM,1.56242649262018,-0.9318407052792352,0.08702766036024581,-10.707408442579476,9.395517192464349e-27,4.4528417435746764e-26
ABITRAMP1,0.0,,,,,
ABL1,3.6371674704259407,-0.6118061698820996,0.063822636230274,-9.58603727484218,9.153320908695668e-22,3.3648027035626032e-21
ABL2,4.575496256834942,0.23473306708593644,0.048900389756900156,4.800228960400343,1.5848433391311502e-06,2.92755783478393e-06
ABLIM1,20.802641169058777,-1.1822412320694433,0.06687307950510163,-17.6788812601228,6.09945065614964e-70,2.3088766676086444e-67
ABLIM2,0.17370104102776865,-0.267179704440451,0.1938282485185668,-1.3784353234500692,0.1680689236755426,0.21568163423348707
ABLIM3,0.06191818106264438,-0.10192288521056006,0.3890551321714645,-0.2619754291421108,0.7933403855015093,0.8318832382384248
ABO,0.35576190252063994,-0.28379456315158574,0.2174071899582296,-1.3053596029004888,0.19177042728518245,0.2437877222088305
ABR,10.01743525465723,-0.3231222989198029,0.0407161893484921,-7.935966112992091,2.088630373617496e-15,5.6942659659677e-15
ABR-AS1,0.0,,,,,
ABRA,0.005738516557167492,0.48917273838249464,1.511080964190177,0.3237237116838763,0.7461472174130659,
ABRACL,47.3504912169705,0.18855314120731612,0.03309957085575125,5.696543379037612,1.222607949877758e-08,2.5061595617946874e-08
ABRAXAS1,6.3594728761217985,-0.055012948534086864,0.034649479430694984,-1.5876991353974708,0.11235438865613548,0.147622627245508
ABRAXAS1P1,0.0,,,,,
ABRAXAS1P2,0.0,,,,,
ABRAXAS2,3.850852745490973,-0.6276497664839642,0.05369090296054125,-11.690057940452952,1.4328882719207698e-31,8.880658924587039e-31
ABT1,22.418282548842587,-0.04295253700636511,0.025469169774599114,-1.686452184601733,0.09170873740771607,0.12197780697650683
ABT1P1,0.0,,,,,
ABTB1,23.652489035192378,-0.1801709259842515,0.02352587273720474,-7.658416246523434,1.88239935955016e-14,4.9255338080537066e-14
