featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MFSD14CP-ENSG00000196312,2.9232847980819865,-2.3308244055298615,0.22727945494801505,-10.255323808581748,1.1199998132023117e-24,4.80516048890024e-24
MFSD6,4.3459467505300085,-1.0258736877507995,0.08189323679434925,-12.52696471537667,5.315845072001947e-36,4.3190875507960787e-35
MGAT4B,5.354829361781299,-1.2513876161297464,0.07962668542630917,-15.715681362724158,1.1810462615113831e-55,5.754384804849026e-54
MIF4GD-DT,0.5938908335098513,-1.1128690051706713,0.13234557222802296,-8.408811767826046,4.1418519144561525e-17,1.2141810923970646e-16
MIR497HG,0.7523161016948936,-1.8474055325025058,0.1956381085624223,-9.44297379522586,3.623467076683983e-21,1.287752634884103e-20
MLF1-DT,2.4653634285693613,1.0227230015181443,0.10683729129332938,9.572715567172008,1.041338807763624e-21,3.81565768652628e-21
MMGT1,6.923923339084321,-1.0686562792447678,0.0716496763361356,-14.915018935065373,2.632025995735154e-50,7.26291584580151e-49
MMP25,0.6522201345829466,-1.186989350652218,0.13913585356391614,-8.531153690784235,1.448953858868864e-17,4.3310196028509894e-17
MORC2-AS1,1.948800705559065,1.1007688029988738,0.11156038611300524,9.867022169355424,5.785671138829358e-23,2.2635041948105724e-22
MPIG6B,1.7920147260818806,-1.3327741696677908,0.12390314432030752,-10.756580690336456,5.517974502870581e-27,2.6440070621836544e-26
MPRIP-AS1,0.8197025780438746,1.4471199432659676,0.17462587446339026,8.28697320894076,1.1616679037901903e-16,3.340417464677557e-16
MRTFA,8.783182055724136,-1.0035309893724043,0.06581316938393715,-15.248179031130713,1.6928878522475667e-52,5.825665119517675e-51
MT-ATP8,143.30414960914644,-2.8536175471371332,0.15455971625024895,-18.46288034404008,4.1083676161136375e-76,2.888182434127887e-73
MT-ND4L,238.81799234144233,-1.8525840021374258,0.09123269522805957,-20.3061413181581,1.1347705468646641e-91,8.376308791681519e-88
MT-ND6,70.73846053383073,-2.0423723598002113,0.10665267453933601,-19.14975286481856,9.724714073253221e-82,1.5951772651493032e-78
MTA2,11.971118431359171,-1.0563888567835862,0.06469873797430073,-16.327812409620712,6.258864729491725e-60,5.25799694603124e-58
MTMR8,0.7998899270404213,-1.3087589472925132,0.12763997206334193,-10.253519537304783,1.1411117766740191e-24,4.894315269912418e-24
MVB12B,1.4092185782562834,-1.1451426009787768,0.13077528242374795,-8.756567600199855,2.012860306819727e-18,6.274462987664618e-18
